Name,CPU time total (us),CUDA time total (us),Calls,Input shapes,Self CPU Mem (KB),Self CUDA Mem (KB)
aten::unsqueeze,923,0,419,,0.0,0.0
aten::as_strided,621,0,4503,,0.0,0.0
aten::sub,10567,119,1,,0.0,32845.5
cudaStreamIsCapturing,53,2160,104,,0.0,0.0
cudaMalloc,9649,25,47,,0.0,0.0
cudaLaunchKernel,553565,37284,3767,,0.0,0.0
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,719,6,,0.0,0.0
aten::div,5291,333,4,,0.0,32847.0
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})",0,101,2,,0.0,0.0
[memory],0,0,3524,,-0.859375,-84683291.0
aten::reshape,4221,5261,965,,0.0,0.0
aten::view,1356,0,1674,,0.0,0.0
aten::conv2d,153251,19978,2,,0.0,-16423.0
aten::to,26253,54574,993,,0.0,1751112.5
aten::_to_copy,25327,60519,957,,0.0625,0.0
aten::empty_strided,4834,0,1034,,0.10546875,16592811.0
aten::copy_,20255,81191,1096,,0.0,0.0
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",0,39531,844,,0.0,0.0
aten::convolution,73041,9946,1,,0.0,0.0
aten::_convolution,73010,9946,1,,0.0,0.0
aten::cudnn_convolution,72795,9850,1,,0.0,28600.0
cudaGetDeviceCount,0,0,2,,0.0,0.0
cudaDriverGetVersion,0,0,1,,0.0,0.0
cudaDeviceGetAttribute,306,1643,48,,0.0,0.0
cudaGetDeviceProperties_v2,809,229,2,,0.0,0.0
cudaStreamCreateWithFlags,2459,172,19,,0.0,0.0
cudaMemsetAsync,80,0,5,,0.0,0.0
Memset (Device),0,69,5,,0.0,0.0
cudaHostAlloc,642,0,2,,0.0,0.0
cudaHostGetDevicePointer,1,0,1,,0.0,0.0
cudaFree,10017,0,9,,0.0,0.0
cudaGetSymbolAddress,91,0,1,,0.0,0.0
cudaEventRecord,3,0,1,,0.0,0.0
cudaStreamGetPriority,0,0,1,,0.0,0.0
cudaDeviceGetStreamPriorityRange,0,128,1,,0.0,0.0
cudaFuncGetAttributes,7721,6177,146,,0.0,0.0
cudaFuncSetAttribute,37122,14964,500,,0.0,0.0
"void cudnn::ops::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, false, true, (cudnnKernelDataType_t)0>(cudnn::ops::nchw2nhwc_params_t<float>, __nv_bfloat16 const*, __nv_bfloat16*)",0,217,2,,0.0,0.0
void cutlass_cudnn_infer::Kernel<cutlass_tensorop_bf16_s16816fprop_analytic_bf16_128x128_32x3_nhwc_align8>(cutlass_tensorop_bf16_s16816fprop_analytic_bf16_128x128_32x3_nhwc_align8::Params),0,1350,1,,0.0,0.0
"void cudnn::ops::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, true, false, (cudnnKernelDataType_t)0>(cudnn::ops::nhwc2nchw_params_t<float>, __nv_bfloat16 const*, __nv_bfloat16*)",0,86,1,,0.0,0.0
aten::add_,172,321,5,,0.0,0.0
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::BFloat16> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::BFloat16> const&)::{lambda(int)#1})",0,4128,61,,0.0,0.0
aten::flatten,174,133,3,,0.0,0.0
aten::transpose,1724,0,778,,0.0,0.0
aten::expand,69,0,12,,0.0,0.0
aten::cat,8200,30696,318,,0.0,6230533.5
aten::narrow,870,0,210,,0.0,0.0
aten::slice,5787,0,2732,,0.0,0.0
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,13669,88,,0.0,0.0
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,9783,73,,0.0,0.0
aten::select,1130,0,434,,0.0,0.0
aten::permute,55,0,16,,0.0,0.0
aten::_upsample_bicubic2d_aa,785,2909,1,,0.0,-5476.0
aten::empty,7557,1,1628,,1.1484375,18843530.5
aten::contiguous,1490,11971,74,,0.0,459360.0
aten::clone,4024,18194,134,,0.0,-487850.0
aten::empty_like,1482,0,210,,0.0,487850.0
"void at::native::(anonymous namespace)::upsample_gen2d_aa_out_frame<float, float, at::native::upsample_antialias::BicubicFilterFunctor>(float, float, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, long>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, long>, at::native::upsample_antialias::BicubicFilterFunctor const&)",0,2084,1,,0.0,0.0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_aligned16_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 3, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0,365,2,,0.0,0.0
aten::add,5281,51468,358,,0.0,10795016.5
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 3, 64, 64>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0,366,3,,0.0,0.0
aten::layer_norm,20179,184701,333,,0.0,-3702803.0
aten::native_layer_norm,10305,100748,223,,0.0,-4593600.0
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,85150,223,,0.0,0.0
aten::linear,149765,526945,624,,0.0,-3818460.0
aten::t,1153,0,318,,0.0,0.0
aten::addmm,62661,247029,315,,0.0,19689298.0
cudaOccupancyMaxActiveBlocksPerMultiprocessor,4437,179,99,,0.0,0.0
ampere_bf16_s1688gemm_bf16_128x128_ldg8_relu_f2f_tn,0,148347,231,,0.0,0.0
aten::scaled_dot_product_attention,7989,175505,79,,-1.09375,47527.5
aten::_scaled_dot_product_flash_attention,6749,175505,75,,0.0,0.0
aten::_flash_attention_forward,5533,175505,75,,0.453125,0.0
"void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::bfloat16_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::bfloat16_t> >, false, false, false, false, false, true, false>(pytorch_flash::Flash_fwd_params)",0,172076,75,,0.0,0.0
aten::dropout,3,0,225,,0.0,0.0
aten::mul,14051,39896,536,,0.0,12769484.5
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0,16585,120,,0.0,0.0
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<float>, at::detail::Array<char*, 3>)",0,31130,121,,0.0,0.0
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,12676,461,83,,0.0,0.0
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816gemm_bf16_256x128_32x3_tn_align8>(cutlass_80_tensorop_bf16_s16816gemm_bf16_256x128_32x3_tn_align8::Params),0,76994,75,,0.0,0.0
aten::gelu,9796,33502,75,,0.0,8613000.0
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1}, at::detail::Array<char*, 2> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1}, at::detail::Array<char*, 2>)",0,25956,75,,0.0,0.0
